Capability,Module / Location,Decision_Variables,Objective_Function,Constraints,Solver,Output_Artifact,Step_Origin,Status
Inventory policy optimization (Safety Stock / ROP / gap / investment),railway/railway_inventory_optimization.py :: build_inventory_policy,None (closed-form),"SS = z*sigma*sqrt(LT); ROP = EDLT + SS; Gap = ROP - Current_Stock; Investment = max(0,Gap)*Unit_Cost",Service level by (ABC x Criticality); two-tier lead time capped 1-24 mo,Analytical (scipy.stats),railway_inventory_policy.csv,STEP5,Implemented
Budget-constrained procurement selection (binary knapsack),railway/railway_inventory_optimization.py :: _solve_knapsack / allocate_procurement_budget,"x_i in {0,1} per procurement-required PL",Maximize sum(SRRS_i * x_i),"sum(Investment_i * x_i) <= PROCUREMENT_BUDGET (Rs 1 crore); item affordability filter",PuLP + CBC (PULP_CBC_CMD),railway_procurement_plan.csv,STEP13 / STEP15,Implemented
Two-stage Safety-Reserve capital allocation,railway/railway_inventory_optimization.py :: allocate_with_reserve,"x_i in {0,1} across 2 knapsack stages",Maximize sum(SRRS) per stage,"Stage1 reserve = pct*budget restricted to S1/S2 insurance spares (floor); Stage2 knapsack on remaining budget",PuLP + CBC,railway_procurement_plan.csv,STEP15,Implemented
PL funding ranking + priority classification,railway/railway_inventory_optimization.py (SRRS_Rank / Priority_Class) + railway_srrs_mas.py,None (scoring),"SRRS = Criticality_Weight * Service_Factor * Positive_Gap; Procurement_Priority_Score = crit_w * gap * unit_cost",Positional Top10/20/30/rest thresholds,Heuristic ranking,"railway_inventory_policy.csv, executive_top10_procurement.csv",STEP13 / STEP15,Implemented
Funding explainability / decision drivers,railway/railway_explainability.py + Funding_Driver column,None,"Decomposes SRRS into log-shares of Criticality / Service_Level / Gap; SRRS_Per_Rupee = SRRS / Investment",n/a,Post-hoc decomposition,railway_funding_explainability.csv,STEP15 / STEP17,Implemented
Budget-scenario reporting (utilization at fixed budget),railway/railway_executive_summary.py :: build_budget_scenario,None (fixed Rs 1 crore),"Reports items funded, budget utilization %, risk reduction, S1-S4 criticality mix",Single configured budget level,Reporting (reads frozen plan),"executive_budget_scenario.csv, powerbi/page8_budget_scenarios.csv",STEP25.5,Implemented (reporting only)
ABC x Criticality investment matrix,railway/railway_inventory_optimization.py :: build_abc_criticality_matrix,None,"Aggregates count / value / gap / investment per (ABC,Criticality) cell",n/a,Aggregation,railway_abc_criticality_matrix.csv,STEP5,Implemented
Inventory rationalization (retain / dispose / procure disposition),railway/railway_inventory_rationalization.py,None,Rule engine assigning disposition per PL,Gap / pending-supply / dead-stock rules,Deterministic rules,"railway_inventory_rationalization.csv, railway_rationalization_summary.csv",STEP16,Implemented
Strategic cross-business-unit stock allocation,railway/railway_strategic_allocation.py + railway_business_unit_runner.py :: allocate,None,Maps zone-level strategic stock to 6 BUs by depot column,Conserves total strategic stock,Deterministic depot->BU mapping (NOT optimized),per-BU strategic outputs,STEP18 / STEP19,Implemented (deterministic mapping)
Multi-business-unit per-unit optimization runs,railway/railway_business_unit_runner.py :: run_business_unit,Per-BU binary knapsack x_i,Per-BU maximize SRRS,Per-BU independent Rs 1 crore budget,PuLP + CBC per BU,"MAS/MDU/PGT/SA/TPJ/TVC/* (procurement_plan, budget_scenario, funding_explainability)",STEP18,Implemented (per-unit; budgets independent)
Enterprise rollup,railway/railway_business_unit_runner.py :: enterprise_rollup,None,Concatenates per-BU registries/summaries into cross-BU view,n/a,Concatenation (no optimization),_enterprise_rollup/*.csv,STEP18,Implemented (concatenation only)
