step,module,inputs_consumed,actual_file_source,division_awareness,notes
STEP20 (umbrella),railway/governance/config/divisions.py + config/__init__.py,Division registry + planning constants,n/a (config),"PARTIAL - DIVISIONS dict holds MAS ONLY; ACTIVE_DIVISION='MAS' hardcoded; constants resolved ONCE at import. NO runtime use_division() switch.",Root blocker for multi-division. STEP20-28 modules ARE parameterized through gcfg but only one division can be active per process import.
STEP21A,railway/railway_demand_reconstruction.py,DMTR_*.xlsx transactions (+ optional stock_history snapshot),raw_data/Railway_Operations/<DIV>/DMTR_*.xlsx via gcfg.DMTR_DIR (=raw_dir(ACTIVE_DIVISION)),YES via gcfg.DMTR_DIR,Glob DMTR_*.xlsx in division folder. stock_history read is OPTIONAL/guarded. Output -> outputs/<DIV>/history/monthly_demand_*.csv
STEP22,railway/railway_demand_classification.py,monthly_demand_history.csv (STEP21A),outputs/<DIV>/history/ via gcfg.HISTORY_DIR,YES via gcfg.HISTORY_DIR,ADI/CV2 classification + forecast-method assignment. No raw file dependency.
STEP23,railway/railway_forecast_generation.py,demand history + classification (STEP21A/22),outputs/<DIV>/history/ via gcfg.HISTORY_DIR,YES via gcfg.HISTORY_DIR,Rolling-origin forecast. No raw file dependency.
STEP23.6B,railway/railway_lead_time_derivation.py,DMTR-derived transaction intervals (history) + strategic allocation filtered by Business_Unit,outputs/<DIV>/history/ + strategic alloc (railways.xlsx-derived) filtered ==gcfg.DIVISION,YES via gcfg.HISTORY_DIR + gcfg.DIVISION,Lead time DERIVED internally - NO external lead-time feed. Reconciles planning universe.
STEP23.7,railway/railway_pl_master.py,history + strategic alloc filtered Business_Unit==gcfg.DIVISION,outputs/<DIV>/history/ + strategic,YES via gcfg.DIVISION,Enterprise PL master reconciliation.
STEP23.8,railway/railway_safety_stock.py (_criticality_by_pl),SUMMARY OF STOCK HELD col4 Type token,raw_data/Railway_Operations/<DIV>/SUMMARY*.xlsx via gcfg.SUMMARY_WORKBOOK,YES via gcfg.SUMMARY_WORKBOOK,Safety/Vital->Critical NA->Non-Critical. Native SUMMARY read.
STEP24,railway/railway_safety_stock.py,demand_classification + forecast_results + lead_time_master (history) + SUMMARY criticality,outputs/<DIV>/history/ + SUMMARY (col4) via gcfg,YES via gcfg,Safety stock = z * sigma * sqrt(LT). Native SUMMARY read.
STEP25,railway/railway_rop.py,safety_stock_results (history) + SUMMARY col4(PL)/col8(Stock),outputs/<DIV>/history/ + SUMMARY via gcfg.SUMMARY_WORKBOOK,YES via gcfg,ROP + reorder-gap. Native SUMMARY read (col8 current stock).
STEP25.5,railway/railway_srrs_mas.py (rate read),SUMMARY OF STOCK HELD col11 Average Rate,raw_data/.../<DIV>/SUMMARY*.xlsx via gcfg.SUMMARY_WORKBOOK,YES via gcfg,Unit cost native read (col11) - NOT the remapped col12 used by load_operational_stock.
STEP26,railway/railway_srrs_mas.py,rop results (history) + SUMMARY col4/col11,outputs/<DIV>/history/ + SUMMARY via gcfg,YES via gcfg,Division SRRS prioritization. Native SUMMARY read.
STEP27,_step27_audit.py (audit script - NO package module),ROP(STEP25) + SUMMARY current stock + NS_DM_CONS open-PO,SUMMARY + NS_DM_CONS_REPORT*.xlsx (raw),Manual / division folder glob,Procurement feasibility / open-PO netting. NS_DM_CONS consumed ONLY here (audit), never by package pipeline. Open-PO netting flagged AMBER/absent.
STEP28,_step28_audit.py (audit script),Rollout readiness per division,raw_data folders presence check,Manual,Readiness scoring - already assessed TPJ as 'Low effort ~1-2wk, pipeline reusable, largest division 1355 ops'.
STEP30/31,railway/governance/division_summary.py,All STEP21A-26 outputs + STEP35 frontier KPIs,outputs/<DIV>/history/ via gcfg (accepts --division),YES (function-level: gcfg.get(division)),Reporting only. The ONE layer that threads division as a parameter rather than import-time constant.
STEP35-OPT,railway/governance/enterprise_allocation.py + railway/railway_inventory_optimization.py,Per-division railway_inventory_policy.csv (STRATEGIC core output),outputs/<DIV>/railway_inventory_policy.csv,YES via buc.live_divisions() (all 6 divisions),"CRITICAL SEAM: reads the STRATEGIC core policy (59 items, currently BYTE-IDENTICAL across all 6 divisions, MD5 ffa1f1f45d), NOT the STEP20-28 deep-planning outputs. Pools 6 clones -> zero real differentiation today."
