token,file,function_or_symbol,mandatory_or_optional,execution_path,replacement_source
railway_stock_summary,railway/railway_config.py,OPERATIONAL_WORKBOOK constant (L48),DEFINITION,Imported by data_preparation/operational_analysis/bu_runner,Repoint to per-division SUMMARY OF STOCK HELD (raw_data/Railway_Operations/<DIV>/)
railway_stock_summary,railway/railway_data_preparation.py,load_operational_stock() (L170-198),MANDATORY,"STEP6 operational pipeline + STEP18 runner load_reference_once",Per-division SUMMARY OF STOCK HELD - BUT column shift: loader expects Unit_Cost=col12/Value=col13; SUMMARY native is Rate=col11/Value=col12 (the +1 remap _build_stock_summary applied). Needs glob+concat over <DIV>/SUMMARY*.xlsx AND index fix.
railway_stock_summary,railway/railway_data_preparation.py,run() (L262 op=load_operational_stock),OPTIONAL,STEP2 validation print (row count only),Same as above (count is cosmetic)
railway_stock_summary,railway/railway_operational_analysis.py,run() / dp.load_operational_stock() (L121),MANDATORY,"STEP6 - dead-stock / slow-moving / zero-stock / valuation / operational_data_quality reports; in BU runner PIPELINE",Per-division SUMMARY OF STOCK HELD concatenation (inherits load_operational_stock fix)
railway_stock_summary,railway/railway_business_unit_runner.py,load_reference_once() L100 / scoped_loaders L114-129,MANDATORY,STEP18 multi-BU depot partition + discover_business_units (Depot column),Per-division SUMMARY files are already depot-scoped by folder -> partition becomes folder selection (depot-filter logic can be dropped)
railway_stock_summary,railway/railway_inventory_rationalization.py,reads operational_analysis OUTPUT csv (indirect),INDIRECT,STEP6 outputs -> rationalization,No direct workbook read; inherits the STEP6 fix
railway_stock_summary,railway/railway_lineage.py,LINEAGE table strings (L34-35),DOC ONLY,Lineage report generation,Update lineage source strings
railway_stock_summary,railway/__init__.py,package docstring (L6),DOC ONLY,n/a,Update doc text
railway_stock_summary,_build_stock_summary.py,whole script (builds the workbook from stock_history),OBSOLETE (non-package),Manual one-off restore utility,DELETE - its input (stock_history.xlsx) is removed; output (railway_stock_summary.xlsx) is the stale file to retire
stock_history,raw_data/Railway_Operations/<DIV>/stock_history.xlsx,(raw data file),REMOVED,n/a (all 6 deleted in working tree),Superseded by SUMMARY OF STOCK HELD (current-stock snapshot)
stock_history,railway/railway_demand_reconstruction.py,_load_stock_history_snapshot() (L222-227),OPTIONAL,"STEP21A only - closing-stock reconciliation anchor; guarded by `if not p.exists(): return {}`",None needed - degrades to empty dict (already happens). If a stock anchor is ever wanted use SUMMARY OF STOCK HELD col8.
stock_history,railway/railway_demand_reconstruction.py,module docstring (L28),DOC ONLY,n/a,Update doc text
stock_history,_build_stock_summary.py,read per-div stock_history (L80),OBSOLETE (non-package),Manual,DELETE with the script
stock_history,_step21a_run.py,dr._load_stock_history_snapshot() (L71),OPTIONAL (non-package audit),Manual STEP21A reconciliation print,n/a (audit harness)
stock_history,"_step27_audit.py / _final_audit.py / _step28_audit.py / _platform_modernization.py",audit/status references,NON-PACKAGE,Manual audit scripts,n/a (documentation of historical state)
SUMMARY (replacement),railway/railway_safety_stock.py,_criticality_by_pl() read_sheet_rows(SUMMARY) col4 (L51),MANDATORY (STEP23.8/24),Reads SUMMARY natively via gcfg.SUMMARY_WORKBOOK,Already correct division-parameterized source - NO change needed
SUMMARY (replacement),railway/railway_rop.py,read_sheet_rows(SUMMARY) col4/col8 (L38-44),MANDATORY (STEP25),Reads SUMMARY natively via gcfg.SUMMARY_WORKBOOK,Already correct - NO change needed
SUMMARY (replacement),railway/railway_srrs_mas.py,read_sheet_rows(SUMMARY) col4/col11 (L42-58),MANDATORY (STEP26/25.5),Reads SUMMARY natively (Rate=col11) via gcfg.SUMMARY_WORKBOOK,Already correct - NO change needed
